# n gamma re_zetaprime im_zetaprime
335 591.725858065 1.632338499150e+00 -1.581232493671e+00
336 592.571358300 2.131572368577e+00 1.030521049579e+00
337 593.974714682 3.772445080967e+00 1.598706945322e+00
338 595.728153697 2.489100994497e+00 -1.193238687942e+00
339 596.362768328 9.767938448942e-01 2.940219265263e+00
340 598.493077346 5.132765915118e+00 -2.542231713690e+00
341 599.545640364 5.358135943922e+00 1.559523759119e+00
342 601.602136736 1.073872652451e+00 -3.389704749625e+00
343 602.579167886 1.987433634900e+00 -7.283309057198e-01
344 603.625618904 1.962396410632e+00 8.348095071923e-01
345 604.616218494 1.012436777373e+00 3.411661620234e+00
346 606.383460422 7.632513658641e+00 3.113966217660e+00
347 608.413217311 2.178641911538e+00 -4.392444575242e+00
348 609.389575155 3.453383982218e+00 -7.057382916430e-01
349 610.839162938 2.779548108309e+00 -1.098865698217e+00
350 611.774209621 2.723137870880e+00 1.964364473032e+00
351 613.599778676 3.337064107979e+00 -1.466371691363e+00
352 614.646237872 2.675928430025e+00 9.164754187711e-01
353 615.538563369 6.712683802374e-01 4.616340811446e+00
354 618.112831366 1.289448260327e+00 -5.383791432546e+00
355 619.184482598 2.370273505056e+00 -1.814580413829e+00
356 620.272893672 2.782318652186e+00 -2.910079067802e-02
357 621.709294528 2.082101650226e+00 -3.528564568425e-01
358 622.375002740 3.343500358354e-01 2.627122007704e+00
359 624.269900018 7.440969009435e+00 1.743846531579e+00
